medal;country;athlete_name;games;sport;event;sex
1;Australia;Lawrence MORGAN/Bill ROYCROFT/Neale LAVIS;Italy;Equestrian Eventing;team;Mixed
1;Australia;John DEVITT;Italy;Swimming;100m freestyle;Men's
1;Australia;Murray ROSE;Italy;Swimming;400m freestyle;Men's
1;Australia;John KONRADS;Italy;Swimming;1500m freestyle;Men's
1;Australia;David THEILE;Italy;Swimming;100m backstroke;Men's
1;Australia;Dawn FRASER;Italy;Swimming;100m freestyle;Women's
2;Australia;Noel FREEMAN;Italy;Athletics;20km walk;Men's
2;Australia;Brenda JONES;Italy;Athletics;800m;Women's
2;Australia;Neale LAVIS;Italy;Equestrian Eventing;individual;Mixed
2;Australia;Murray ROSE;Italy;Swimming;1500m freestyle;Men's
2;Australia;Neville HAYES;Italy;Swimming;200m butterfly;Men's
2;Australia;David THEILE/Neville HAYES/Terry GATHERCOLE/Geoffrey SHIPTON;Italy;Swimming;4x100m medley relay;Men's
2;Australia;Lorraine CRAPP/Alva COLQUHOUN/Ilsa KONRADS/Dawn FRASER;Italy;Swimming;4x100m freestyle relay;Women's
2;Australia;Janice ANDREW/Rosemary LASSIG/Dawn FRASER/Marilyn WILSON;Italy;Swimming;4x100m medley relay;Women's
3;Australia;David POWER;Italy;Athletics;10000m;Men's
3;Australia;Oliver TAYLOR;Italy;Boxing;51 - 54kg (bantamweight);Men's
3;Australia;Anthony MADIGAN;Italy;Boxing;75 - 81kg (light-heavyweight);Men's
3;Australia;John KONRADS;Italy;Swimming;400m freestyle;Men's
3;Australia;John DEVITT/David DICKSON/Murray ROSE/John KONRADS;Italy;Swimming;4x200m freestyle relay;Men's
3;Australia;Janice ANDREW;Italy;Swimming;100m butterfly;Women's
1;Australia;Betty CUTHBERT;Japan;Athletics;400m;Women's
1;Australia;Peter O'DONNELL/James SARGEANT/William NORTHAM;Japan;Sailing;5.5m;Mixed
1;Australia;Robert WINDLE;Japan;Swimming;1500m freestyle;Men's
1;Australia;Ian O'BRIEN;Japan;Swimming;200m breaststroke;Men's
1;Australia;Kevin BERRY;Japan;Swimming;200m butterfly;Men's
1;Australia;Dawn FRASER;Japan;Swimming;100m freestyle;Women's
2;Australia;Michele BROWN;Japan;Athletics;high jump;Women's
2;Australia;Janice MURPHY/Lynette BELL/Dawn FRASER/Robyn THORN;Japan;Swimming;4x100m freestyle relay;Women's
3;Australia;Ron CLARKE;Japan;Athletics;10000m;Men's
3;Australia;Marilyn BLACK;Japan;Athletics;200m;Women's
3;Australia;Judith Florence AMOORE-POLLOCK;Japan;Athletics;400m;Women's
3;Australia;Pamela RYAN;Japan;Athletics;80m hurdles;Women's
3;Australia;Raymond EVANS/Paul DEARING/Anthony WATERS/Robin HODDER/Julian PEARCE/Brian GLENCROSS/Donald SMART/John MCBRYDE/Desmond PIPER/Eric PEARCE/Graham WOOD/Donald MCWATTERS/Patrick NILAN/Mervyn CROSSMAN;Japan;Hockey;hockey;Men's
3;Australia;Theodore BORONOVSKIS;Japan;Judo;open category;Men's
3;Australia;Allan WOOD;Japan;Swimming;400m freestyle;Men's
3;Australia;Allan WOOD;Japan;Swimming;1500m freestyle;Men's
3;Australia;Peter DOAK/David DICKSON/John RYAN/Robert WINDLE;Japan;Swimming;4x100m freestyle relay;Men's
3;Australia;Ian O'BRIEN/Peter REYNOLDS/David DICKSON/Kevin BERRY;Japan;Swimming;4x100m medley relay;Men's
1;Australia;Ralph DOUBELL;Mexico;Athletics;800m;Men's
1;Australia;Maureen CAIRD;Mexico;Athletics;80m hurdles;Women's
1;Australia;Mike WENDEN;Mexico;Swimming;100m freestyle;Men's
1;Australia;Mike WENDEN;Mexico;Swimming;200m freestyle;Men's
1;Australia;Lynette MCCLEMENTS;Mexico;Swimming;100m butterfly;Women's
2;Australia;Peter NORMAN;Mexico;Athletics;200m;Men's
2;Australia;Raelene Ann BOYLE;Mexico;Athletics;200m;Women's
2;Australia;Pamela RYAN;Mexico;Athletics;80m hurdles;Women's
